Ref,Val,Package,PosX,PosY,Rot,Side
"BT3","Battery_Cell","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",124.500000,-93.000000,-90.000000,top
"C1","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.962500,-83.000000,180.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.962500,-80.500000,180.000000,top
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.462500,-87.200000,0.000000,top
"C4","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.425000,-84.700000,0.000000,top
"C5","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.500000,-82.200000,0.000000,top
"C6","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.700000,-78.662500,-90.000000,top
"C7","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",128.200000,-78.662500,90.000000,top
"C8","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.000000,-78.500000,90.000000,top
"C9","470nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.700000,-78.500000,90.000000,top
"C10","22nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.200000,-78.500000,90.000000,top
"C11","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.000000,-89.237500,90.000000,top
"C12","470nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.000000,-91.537500,-90.000000,top
"C13","22nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.000000,-91.537500,-90.000000,top
"C14","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.700000,-74.240000,-90.000000,top
"C15","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.200000,-74.240000,-90.000000,top
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.010000,-74.240000,-90.000000,top
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.000000,-90.500000,-90.000000,top
"C18","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.000000,-90.500000,-90.000000,top
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.537500,-90.037500,0.000000,top
"C20","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",147.462500,-94.000000,180.000000,top
"C21","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.962500,-97.400000,90.000000,top
"C22","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.000000,-101.500000,90.000000,top
"C23","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.000000,-102.000000,-90.000000,top
"C24","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",173.000000,-96.037500,-90.000000,top
